batch,#,section,group,canonical_group,book_id,title,language,final_dates,decision_source,status
Batch1,87,B,አብርሃም,አብርሃም,AM-MEL-063,የአባታችን አብርሃም መልክዕ በአማርኛ,አማርኛ,"ሐምሌ 7, ነሐሴ 28",Sinksar Canonical,verified
Batch1,88,B,መልከ ጼዴቅ,መልከ ጼዴቅ,GZ-MEL-075,መልክዐ አቡነ መልከ ጼዴቅ በግእዝ,ግእዝ,"ግንቦት 4, ጳጉሜን 3 / Monthly Day 9",Sinksar Canonical,verified
Batch1,89,B,መልከ ጼዴቅ,መልከ ጼዴቅ,AM-MEL-068,የአቡነ መልከ ጼዴቅ መልክእ በአማርኛ,አማርኛ,"ግንቦት 4, ጳጉሜን 3 / Monthly Day 9",Sinksar Canonical,verified
Batch1,92,B,ቅዱስ ዮስጦስ,ቅዱስ ዮስጦስ,GZ-GDL-010,ገድለ ቅዱስ ዮስጦስ በግእዝ,ግእዝ,"የካቲት 10, ሐምሌ 17",Sinksar Canonical,verified
Batch1,93,B,ቅዱስ ዮስጦስ,ቅዱስ ዮስጦስ,GZ-MEL-063,መልክዐ ቅዱስ ዮስጦስ በግእዝ,ግእዝ,"የካቲት 10, ሐምሌ 17",Sinksar Canonical,verified
Batch1,94,B,አቡነ ፊልጶስ,አቡነ ፊልጶስ,GZ-GDL-011,ገድለ አቡነ ፊልጶስ በግእዝ,ግእዝ,ሐምሌ 28,Sinksar (ፊልዾስ Equivalence),verified
Batch1,95,B,አቡነ ፊልጶስ,አቡነ ፊልጶስ,GZ-MEL-118,መልክዐ አቡነ ፊልጶስ በግእዝ,ግእዝ,ሐምሌ 28,Sinksar (ፊልዾስ Equivalence),verified
Batch1,96,B,አቡነ ፊልሞና,አቡነ ፊልሞና,GZ-GDL-020,ገድለ አቡነ ፊልሞና በግእዝ,ግእዝ,ታኅሣሥ 22,Verified Corrected,verified
Batch1,97,B,አቡነ ፊልሞና,አቡነ ፊልሞና,GZ-MEL-117,መልክዐ አቡነ ፊልሞና በግእዝ,ግእዝ,ታኅሣሥ 22,Verified Corrected,verified
Batch1,98,B,አቡነ ዳንኤል,አቡነ ዳንኤል,GZ-GDL-028,ገድለ አቡነ ዳንኤል በግእዝ,ግእዝ,ኅዳር 6,Verified Fallback (Gedle Abune Daniel),verified
Batch1,99,B,አቡነ ዳንኤል,አቡነ ዳንኤል,GZ-MEL-114,መልክዐ አቡነ ዳንኤል በግእዝ,ግእዝ,ኅዳር 6,Verified Fallback (Gedle Abune Daniel),verified
Batch1,100,B,አቡነ ዮሴፍ,አቡነ ዮሴፍ,GZ-GDL-029,ገድለ አቡነ ዮሴፍ በግእዝ,ግእዝ,ግንቦት 19 / Monthly Day 19,Sinksar Canonical,verified
