month,day,kind,position,sinksar_name
5,7,monthly,4,አባ ባውላ ገዳማዊ
5,7,monthly,5,ቅዱስ አትናቴዎስ ሐዋርያዊ
5,11,annual,1,በዓለ ኤዺፋንያ
5,11,annual,4,አባ ወቅሪስ ገዳማዊ
5,11,annual,6,ቅዱስ እንጣልዮስ ሰማዕት
5,11,monthly,2,ማር ገላውዴዎስ ሰማዕት
5,11,monthly,4,ቅድስት ሐና ቡርክት
5,24,annual,2,ቅድስት ማርያ ግብጻዊት
5,24,annual,3,ታላቁ አባ ቢፋ
5,24,annual,4,አባ አብሳዲ ቀሲስ
5,24,annual,5,ቅዱሳን ጻድቃነ ሐውዚን
5,24,monthly,3,ቅዱስ ቶማስ ዘመርዓስ
5,24,monthly,4,ቅዱስ ሙሴ ጸሊም
5,24,monthly,5,ቅዱስ አጋቢጦስ
5,24,monthly,6,፳፬ቱ ካህናተ ሠማይ
6,3,annual,1,ቅዱስ ኤፍሬም ሶርያዊ (አፈ በረከት በዓለ ፍልሰቱ)
6,3,annual,2,ቅዱስ አባ ዕብሎይ ገዳማዊ
6,3,annual,3,አባ ያዕቆብ መስተጋድል
6,3,monthly,1,በዓታ ማርያም
6,3,monthly,3,ቅዱሳን ዘካርያስ ወስምኦን
6,3,monthly,5,አባ መድኀኒነ እግዚኦ
6,11,annual,1,አባ አውሎግ አንበሳዊ
6,11,annual,2,አባ አውሎጊን ጻድቅ (የአባ አውሎግ መምሕር)
6,11,annual,3,አባ በትራ (የጻድቁ አባ ስልዋኖስ ደቀ መዝሙር)
6,11,annual,4,አባ በላትያኖስ ሰማዕት (የሮም ሊቀ ዻዻሳት የነበረ)
6,11,annual,5,አባ አብርሃም ኤዺስ ቆዾስ
6,11,annual,6,አባ መቃቢስ
6,11,annual,7,አባ ኮንቲ
6,11,monthly,2,ቅዱስ ገላውዴዎስ ሰማዕት
6,12,annual,1,"""30,000 ሰማዕታተ ኢትዮዽያ (ሮማዊው ፋሽስት የገደላቸው)"
6,12,annual,2,ቅዱስ ሶምሶን ረዓይታዊ (የእስራኤል መስፍን)
6,12,annual,3,ቅዱስ አባ ገላስዮስ ገዳማዊ
6,12,annual,4,ቅድስት ዶርቃስ
6,12,monthly,2,ቅዱስ ማቴዎስ ሐዋርያ
6,12,monthly,3,ቅዱስ ድሜጥሮስ
6,12,monthly,4,ቅዱስ ዮሐንስ አፈ ወርቅ
6,12,monthly,6,ቅድስት ክርስቶስ ሠምራ
7,10,annual,2,ቅድስት ዕሌኒ ንግሥት
7,10,annual,3,ቅዱስ ኪራኮስ አረጋዊ
7,10,annual,4,ቅዱስ መቃርስ ዘኢየሩሳሌም
