batch,section,group,book_id,title,language,ethiopian_month,ethiopian_day,date_name,expected_is_annual,db_is_annual,kind,flag_match
Batch1,B,ቅዱስ ፊቅጦር,GZ-MEL-162,መልክዐ ፊቅጦር በግእዝ,ግእዝ,4,5,ታኅሣሥ 5,1,1,ANNUAL,YES
Batch1,B,ቅዱስ ፊቅጦር,GZ-MEL-162,መልክዐ ፊቅጦር በግእዝ,ግእዝ,4,27,ታኅሣሥ 27,0,0,MONTHLY,YES
Batch1,B,ቅዱስ ፊቅጦር,GZ-MEL-162,መልክዐ ፊቅጦር በግእዝ,ግእዝ,5,27,ጥር 27,0,0,MONTHLY,YES
Batch1,B,ቅዱስ ፊቅጦር,GZ-MEL-162,መልክዐ ፊቅጦር በግእዝ,ግእዝ,6,13,የካቲት 13,1,1,ANNUAL,YES
Batch1,B,ቅዱስ ፊቅጦር,GZ-MEL-162,መልክዐ ፊቅጦር በግእዝ,ግእዝ,6,27,የካቲት 27,0,0,MONTHLY,YES
Batch1,B,ቅዱስ ፊቅጦር,GZ-MEL-162,መልክዐ ፊቅጦር በግእዝ,ግእዝ,7,27,መጋቢት 27,0,0,MONTHLY,YES
Batch1,B,ቅዱስ ፊቅጦር,GZ-MEL-162,መልክዐ ፊቅጦር በግእዝ,ግእዝ,8,27,ሚያዝያ 27,1,1,ANNUAL+MONTHLY,YES
Batch1,B,ቅዱስ ፊቅጦር,GZ-MEL-162,መልክዐ ፊቅጦር በግእዝ,ግእዝ,9,27,ግንቦት 27,0,0,MONTHLY,YES
Batch1,B,ቅዱስ ፊቅጦር,GZ-MEL-162,መልክዐ ፊቅጦር በግእዝ,ግእዝ,10,27,ሰኔ 27,0,0,MONTHLY,YES
Batch1,B,ቅዱስ ፊቅጦር,GZ-MEL-162,መልክዐ ፊቅጦር በግእዝ,ግእዝ,11,27,ሐምሌ 27,0,0,MONTHLY,YES
Batch1,B,ቅዱስ ፊቅጦር,GZ-MEL-162,መልክዐ ፊቅጦር በግእዝ,ግእዝ,12,27,ነሐሴ 27,0,0,MONTHLY,YES
Batch1,B,አቡነ አቢብ,AM-GDL-024,ገድለ ቅዱስ አቡነ አቢብ በአማርኛ,አማርኛ,1,25,መስከረም 25,0,0,MONTHLY,YES
Batch1,B,አቡነ አቢብ,AM-GDL-024,ገድለ ቅዱስ አቡነ አቢብ በአማርኛ,አማርኛ,2,25,ጥቅምት 25,1,1,ANNUAL+MONTHLY,YES
Batch1,B,አቡነ አቢብ,AM-GDL-024,ገድለ ቅዱስ አቡነ አቢብ በአማርኛ,አማርኛ,3,25,ኅዳር 25,0,0,MONTHLY,YES
Batch1,B,አቡነ አቢብ,AM-GDL-024,ገድለ ቅዱስ አቡነ አቢብ በአማርኛ,አማርኛ,4,25,ታኅሣሥ 25,0,0,MONTHLY,YES
Batch1,B,አቡነ አቢብ,AM-GDL-024,ገድለ ቅዱስ አቡነ አቢብ በአማርኛ,አማርኛ,5,25,ጥር 25,0,0,MONTHLY,YES
Batch1,B,አቡነ አቢብ,AM-GDL-024,ገድለ ቅዱስ አቡነ አቢብ በአማርኛ,አማርኛ,6,25,የካቲት 25,0,0,MONTHLY,YES
Batch1,B,አቡነ አቢብ,AM-GDL-024,ገድለ ቅዱስ አቡነ አቢብ በአማርኛ,አማርኛ,7,25,መጋቢት 25,0,0,MONTHLY,YES
Batch1,B,አቡነ አቢብ,AM-GDL-024,ገድለ ቅዱስ አቡነ አቢብ በአማርኛ,አማርኛ,8,15,ሚያዝያ 15,1,1,ANNUAL,YES
Batch1,B,አቡነ አቢብ,AM-GDL-024,ገድለ ቅዱስ አቡነ አቢብ በአማርኛ,አማርኛ,8,25,ሚያዝያ 25,0,0,MONTHLY,YES
Batch1,B,አቡነ አቢብ,AM-GDL-024,ገድለ ቅዱስ አቡነ አቢብ በአማርኛ,አማርኛ,9,25,ግንቦት 25,0,0,MONTHLY,YES
Batch1,B,አቡነ አቢብ,AM-GDL-024,ገድለ ቅዱስ አቡነ አቢብ በአማርኛ,አማርኛ,10,25,ሰኔ 25,0,0,MONTHLY,YES
Batch1,B,አቡነ አቢብ,AM-GDL-024,ገድለ ቅዱስ አቡነ አቢብ በአማርኛ,አማርኛ,11,25,ሐምሌ 25,0,0,MONTHLY,YES
Batch1,B,አቡነ አቢብ,AM-GDL-024,ገድለ ቅዱስ አቡነ አቢብ በአማርኛ,አማርኛ,12,25,ነሐሴ 25,0,0,MONTHLY,YES
Batch1,B,አቡነ አቢብ,AM-MEL-003,መልክዐ ለአቡነ አቢብ ጻድቅ በአማርኛ,አማርኛ,1,25,መስከረም 25,0,0,MONTHLY,YES
Batch1,B,አቡነ አቢብ,AM-MEL-003,መልክዐ ለአቡነ አቢብ ጻድቅ በአማርኛ,አማርኛ,2,25,ጥቅምት 25,1,1,ANNUAL+MONTHLY,YES
