batch,section,group,book_id,title,language,final_dates,db_dates,db_annual,db_monthly_days,rows_expected,rows_in_db,match,status,problem
Batch1,B,አቡነ ሊባኖስ,GZ-MEL-018,መልክዐ ሊባኖስ በግእዝ,ግእዝ,ጥር 3 / Monthly Day 3,ጥር 3 / Monthly Day 3,ጥር 3,3,13,13,YES,PASS,
Batch1,B,አቡነ ሊባኖስ,GZ-MEL-074,መልክዐ አቡነ ሊባኖስ ካልእ በግእዝ,ግእዝ,ጥር 3 / Monthly Day 3,ጥር 3 / Monthly Day 3,ጥር 3,3,13,13,YES,PASS,
Batch1,B,አቡነ ሊባኖስ,AM-MEL-053,የአቡነ ሊባኖስ 2ኛ መልክዕ በአማርኛ,አማርኛ,ጥር 3 / Monthly Day 3,ጥር 3 / Monthly Day 3,ጥር 3,3,13,13,YES,PASS,
Batch1,B,አቡነ ተከስተ ብርሃን,GZ-MEL-091,መልክዐ አቡነ ተከስተ ብርሃን በግእዝ,ግእዝ,መጋቢት 10,መጋቢት 10,መጋቢት 10,,1,1,YES,PASS,
Batch1,B,አቡነ ተከስተ ብርሃን,AM-MEL-056,የአቡነ ተከስተ ብርሃን መልክዕ በአማርኛ,አማርኛ,መጋቢት 10,መጋቢት 10,መጋቢት 10,,1,1,YES,PASS,
Batch1,B,አቡነ አባለ ክርስቶስ,GZ-MEL-096,መልክዐ አቡነ አባለ ክርስቶስ በግእዝ,ግእዝ,"ታኅሣሥ 19, የካቲት 19","ታኅሣሥ 19, የካቲት 19","ታኅሣሥ 19, የካቲት 19",,2,2,YES,PASS,
Batch1,B,አቡነ አባለ ክርስቶስ,AM-MEL-060,የአቡነ አባለ ክርስቶስ ጻድቅ መልክዕ በአማርኛ,አማርኛ,"ታኅሣሥ 19, የካቲት 19","ታኅሣሥ 19, የካቲት 19","ታኅሣሥ 19, የካቲት 19",,2,2,YES,PASS,
Batch1,B,አብርሃም,GZ-MEL-098,መልክዐ አቡነ አብርሃም በግእዝ,ግእዝ,"ሐምሌ 7, ነሐሴ 28","ሐምሌ 7, ነሐሴ 28","ሐምሌ 7, ነሐሴ 28",,2,2,YES,PASS,
Batch1,B,አብርሃም,AM-MEL-063,የአባታችን አብርሃም መልክዕ በአማርኛ,አማርኛ,"ሐምሌ 7, ነሐሴ 28","ሐምሌ 7, ነሐሴ 28","ሐምሌ 7, ነሐሴ 28",,2,2,YES,PASS,
Batch1,B,መልከ ጼዴቅ,GZ-MEL-075,መልክዐ አቡነ መልከ ጼዴቅ በግእዝ,ግእዝ,"ግንቦት 4, ጳጉሜን 3 / Monthly Day 9","ግንቦት 4, ጳጉሜን 3 / Monthly Day 9","ግንቦት 4, ጳጉሜን 3",9,14,14,YES,PASS,
Batch1,B,መልከ ጼዴቅ,AM-MEL-068,የአቡነ መልከ ጼዴቅ መልክእ በአማርኛ,አማርኛ,"ግንቦት 4, ጳጉሜን 3 / Monthly Day 9","ግንቦት 4, ጳጉሜን 3 / Monthly Day 9","ግንቦት 4, ጳጉሜን 3",9,14,14,YES,PASS,
Batch1,B,ቅዱስ ዮስጦስ,GZ-GDL-010,ገድለ ቅዱስ ዮስጦስ በግእዝ,ግእዝ,"የካቲት 10, ሐምሌ 17","የካቲት 10, ሐምሌ 17","የካቲት 10, ሐምሌ 17",,2,2,YES,PASS,
Batch1,B,ቅዱስ ዮስጦስ,GZ-MEL-063,መልክዐ ቅዱስ ዮስጦስ በግእዝ,ግእዝ,"የካቲት 10, ሐምሌ 17","የካቲት 10, ሐምሌ 17","የካቲት 10, ሐምሌ 17",,2,2,YES,PASS,
Batch1,B,አቡነ ፊልጶስ,GZ-GDL-011,ገድለ አቡነ ፊልጶስ በግእዝ,ግእዝ,ሐምሌ 28,ሐምሌ 28,ሐምሌ 28,,1,1,YES,PASS,
Batch1,B,አቡነ ፊልጶስ,GZ-MEL-118,መልክዐ አቡነ ፊልጶስ በግእዝ,ግእዝ,ሐምሌ 28,ሐምሌ 28,ሐምሌ 28,,1,1,YES,PASS,
Batch1,B,አቡነ ፊልሞና,GZ-GDL-020,ገድለ አቡነ ፊልሞና በግእዝ,ግእዝ,ታኅሣሥ 22,ታኅሣሥ 22,ታኅሣሥ 22,,1,1,YES,PASS,
Batch1,B,አቡነ ፊልሞና,GZ-MEL-117,መልክዐ አቡነ ፊልሞና በግእዝ,ግእዝ,ታኅሣሥ 22,ታኅሣሥ 22,ታኅሣሥ 22,,1,1,YES,PASS,
Batch1,B,አቡነ ዳንኤል,GZ-GDL-028,ገድለ አቡነ ዳንኤል በግእዝ,ግእዝ,ኅዳር 6,ኅዳር 6,ኅዳር 6,,1,1,YES,PASS,
Batch1,B,አቡነ ዳንኤል,GZ-MEL-114,መልክዐ አቡነ ዳንኤል በግእዝ,ግእዝ,ኅዳር 6,ኅዳር 6,ኅዳር 6,,1,1,YES,PASS,
Batch1,B,አቡነ ዮሴፍ,GZ-GDL-029,ገድለ አቡነ ዮሴፍ በግእዝ,ግእዝ,ግንቦት 19 / Monthly Day 19,ግንቦት 19 / Monthly Day 19,ግንቦት 19,19,12,12,YES,PASS,
Batch1,B,አቡነ ዮሴፍ,GZ-MEL-111,መልክዐ አቡነ ዮሴፍ በግእዝ,ግእዝ,ግንቦት 19 / Monthly Day 19,ግንቦት 19 / Monthly Day 19,ግንቦት 19,19,12,12,YES,PASS,
Batch2,A,ቅዱስ መስቀል,GZ-DRS-002,ድርሳነ መስቀል በግእዝ,ግእዝ,"መስከረም 10, መስከረም 17, መስከረም 18, መስከረም 19, መስከረም 25, ኅዳር 8, መጋቢት 10, መጋቢት 27, ሚያዝያ 21, ነሐሴ 12 / Monthly Day 10","መስከረም 10, መስከረም 17, መስከረም 18, መስከረም 19, መስከረም 25, ኅዳር 8, መጋቢት 10, መጋቢት 27, ሚያዝያ 21, ነሐሴ 12 / Monthly Day 10","መስከረም 10, መስከረም 17, መስከረም 18, መስከረም 19, መስከረም 25, ኅዳር 8, መጋቢት 10, መጋቢት 27, ሚያዝያ 21, ነሐሴ 12",10,20,20,YES,PASS,
Batch2,A,ቅዱስ መስቀል,AM-DRS-008,ድርሳነ መስቀል በአማርኛ,አማርኛ,"መስከረም 10, መስከረም 17, መስከረም 18, መስከረም 19, መስከረም 25, ኅዳር 8, መጋቢት 10, መጋቢት 27, ሚያዝያ 21, ነሐሴ 12 / Monthly Day 10","መስከረም 10, መስከረም 17, መስከረም 18, መስከረም 19, መስከረም 25, ኅዳር 8, መጋቢት 10, መጋቢት 27, ሚያዝያ 21, ነሐሴ 12 / Monthly Day 10","መስከረም 10, መስከረም 17, መስከረም 18, መስከረም 19, መስከረም 25, ኅዳር 8, መጋቢት 10, መጋቢት 27, ሚያዝያ 21, ነሐሴ 12",10,20,20,YES,PASS,
Batch2,A,ኢያቄም ወሐና,GZ-DRS-007,ድርሳን ዘቅዱስ ኢያቄም ወቅድስት ሐና በግእዝ,ግእዝ,"መስከረም 7, መስከረም 12, ታኅሣሥ 3, ታኅሣሥ 13, ሚያዝያ 7, ግንቦት 1, ነሐሴ 1, ነሐሴ 7, ኅዳር 11 / Monthly Day 1, 3, 11","መስከረም 7, መስከረም 12, ታኅሣሥ 3, ታኅሣሥ 13, ሚያዝያ 7, ግንቦት 1, ነሐሴ 1, ነሐሴ 7, ኅዳር 11 / Monthly Day 1, 3, 11","መስከረም 7, መስከረም 12, ኅዳር 11, ታኅሣሥ 3, ታኅሣሥ 13, ሚያዝያ 7, ግንቦት 1, ነሐሴ 1, ነሐሴ 7","1, 3, 11",43,43,YES,PASS,
Batch2,A,ኢያቄም ወሐና,AM-DRS-001,የቅዱስ ኢያቄምና- የቅድስት ሐና ድርሳን በአማርኛ,አማርኛ,"መስከረም 7, መስከረም 12, ታኅሣሥ 3, ታኅሣሥ 13, ሚያዝያ 7, ግንቦት 1, ነሐሴ 1, ነሐሴ 7, ኅዳር 11 / Monthly Day 1, 3, 11","መስከረም 7, መስከረም 12, ታኅሣሥ 3, ታኅሣሥ 13, ሚያዝያ 7, ግንቦት 1, ነሐሴ 1, ነሐሴ 7, ኅዳር 11 / Monthly Day 1, 3, 11","መስከረም 7, መስከረም 12, ኅዳር 11, ታኅሣሥ 3, ታኅሣሥ 13, ሚያዝያ 7, ግንቦት 1, ነሐሴ 1, ነሐሴ 7","1, 3, 11",43,43,YES,PASS,
Batch2,A,ቅዱስ መስቀል,GZ-MEL-051,መልክዐ ቅዱስ መስቀል በግእዝ,ግእዝ,"መስከረም 10, መስከረም 17, መስከረም 18, መስከረም 19, መስከረም 25, ኅዳር 8, መጋቢት 10, መጋቢት 27, ሚያዝያ 21, ነሐሴ 12 / Monthly Day 10","መስከረም 10, መስከረም 17, መስከረም 18, መስከረም 19, መስከረም 25, ኅዳር 8, መጋቢት 10, መጋቢት 27, ሚያዝያ 21, ነሐሴ 12 / Monthly Day 10","መስከረም 10, መስከረም 17, መስከረም 18, መስከረም 19, መስከረም 25, ኅዳር 8, መጋቢት 10, መጋቢት 27, ሚያዝያ 21, ነሐሴ 12",10,20,20,YES,PASS,
Batch2,A,ቅዱስ መስቀል,AM-MEL-012,መልክዐ ቅዱስ መስቀል በአማርኛ,አማርኛ,"መስከረም 10, መስከረም 17, መስከረም 18, መስከረም 19, መስከረም 25, ኅዳር 8, መጋቢት 10, መጋቢት 27, ሚያዝያ 21, ነሐሴ 12 / Monthly Day 10","መስከረም 10, መስከረም 17, መስከረም 18, መስከረም 19, መስከረም 25, ኅዳር 8, መጋቢት 10, መጋቢት 27, ሚያዝያ 21, ነሐሴ 12 / Monthly Day 10","መስከረም 10, መስከረም 17, መስከረም 18, መስከረም 19, መስከረም 25, ኅዳር 8, መጋቢት 10, መጋቢት 27, ሚያዝያ 21, ነሐሴ 12",10,20,20,YES,PASS,
