book_id,title,matched_core,core_length,confidence,sinksar_dates,tselot_dates,missing_to_add,extra_to_remove,status
GZ-MEL-149,መልክዐ ዮሐንስ ወልደ ነጎድጓድ በግእዝ,ዮሐንስ ወልደ ነጎድጓድ,14,HIGH,"[(6, 4)]","[(1, 4), (1, 29), (2, 4), (3, 4), (4, 4), (5, 4), (6, 4), (7, 4), (8, 4), (9, 4), (9, 16), (10, 4), (11, 4), (11, 27), (12, 4)]",[],"[(1, 4), (1, 29), (2, 4), (3, 4), (4, 4), (5, 4), (7, 4), (8, 4), (9, 4), (9, 16), (10, 4), (11, 4), (11, 27), (12, 4)]",WRONG_DATE
GZ-MEL-151,መልክዐ ገብረ መንፈስ ቅዱስ በግእዝ,ገብረ መንፈስ ቅዱስ,12,HIGH,"[(1, 5), (2, 5), (3, 5), (4, 5), (4, 29), (5, 5), (6, 5), (7, 29), (9, 5), (11, 5), (12, 5)]","[(1, 5), (2, 5), (3, 5), (4, 5), (4, 29), (5, 5), (6, 5), (7, 5), (7, 29), (8, 5), (9, 5), (10, 5), (11, 5), (12, 5)]",[],"[(7, 5), (8, 5), (10, 5)]",WRONG_DATE
GZ-MEL-152,መልክዐ ገብረ መንፈስ ቅዱስ ካልዕ በግእዝ,ገብረ መንፈስ ቅዱስ,12,HIGH,"[(1, 5), (2, 5), (3, 5), (4, 5), (4, 29), (5, 5), (6, 5), (7, 29), (9, 5), (11, 5), (12, 5)]","[(1, 5), (2, 5), (3, 5), (4, 5), (4, 29), (5, 5), (6, 5), (7, 5), (7, 29), (8, 5), (9, 5), (10, 5), (11, 5), (12, 5)]",[],"[(7, 5), (8, 5), (10, 5)]",WRONG_DATE
GZ-MEL-153,መልክዐ ገብረ ክርስቶስ በግእዝ,ገብረ ክርስቶስ,9,HIGH,"[(5, 14), (10, 6)]","[(2, 14)]","[(5, 14), (10, 6)]","[(2, 14)]",WRONG_DATE
GZ-MEL-159,መልክዐ ጸበለ ማርያም ቅድስት በግእዝ,ጸበለ ማርያም,8,HIGH,"[(2, 24)]","[(1, 24), (2, 24), (3, 24), (4, 24), (5, 24), (6, 24), (7, 24), (8, 24), (9, 24), (10, 24), (11, 24), (12, 24)]",[],"[(1, 24), (3, 24), (4, 24), (5, 24), (6, 24), (7, 24), (8, 24), (9, 24), (10, 24), (11, 24), (12, 24)]",WRONG_DATE
GZ-MEL-164,መልክዐ ፬ቱ እንስሳ በግእዝ,፬ቱ እንስሳ,7,MEDIUM,"[(3, 8), (4, 8)]","[(1, 8), (2, 8), (3, 8), (4, 8), (5, 8), (6, 8), (7, 8), (8, 8), (9, 8), (10, 8), (11, 8), (12, 8)]",[],"[(1, 8), (2, 8), (5, 8), (6, 8), (7, 8), (8, 8), (9, 8), (10, 8), (11, 8), (12, 8)]",WRONG_DATE
GZ-TEA-002,ተአምኆ ዘሥሉስ ቅዱስ በግእዝ,ሥሉስ ቅዱስ,7,MEDIUM,"[(1, 7), (2, 7), (3, 7), (4, 7), (6, 7), (7, 7), (8, 7), (10, 7), (12, 7)]",[],"[(1, 7), (2, 7), (3, 7), (4, 7), (6, 7), (7, 7), (8, 7), (10, 7), (12, 7)]",[],WRONG_DATE
GZ-TEA-003,ተአምኆ ዘሥሉስ ቅዱስ በግእዝ ካልእ,ሥሉስ ቅዱስ,7,MEDIUM,"[(1, 7), (2, 7), (3, 7), (4, 7), (6, 7), (7, 7), (8, 7), (10, 7), (12, 7)]",[],"[(1, 7), (2, 7), (3, 7), (4, 7), (6, 7), (7, 7), (8, 7), (10, 7), (12, 7)]",[],WRONG_DATE
GZ-GDL-002,ገድለ ሰማዕት ቅዱስ መርቆሬዎስ በግእዝ,መርቆሬዎስ,6,MEDIUM,"[(1, 25), (2, 25), (3, 25), (3, 30), (4, 25), (6, 25), (7, 1), (7, 25), (8, 25), (9, 25), (10, 25), (12, 25)]","[(1, 25), (2, 25), (3, 25), (4, 25), (5, 25), (6, 25), (7, 25), (8, 25), (9, 25), (10, 25), (11, 25), (12, 25)]","[(3, 30), (7, 1)]","[(5, 25), (11, 25)]",WRONG_DATE
AM-GDL-002,ገድለ ማርያም እንተ ዕፍረት በአማርኛ,ማርያም እንተ ዕፍረት,13,HIGH,"[(2, 1), (6, 6)]","[(2, 1), (6, 6)]",[],[],CORRECT
GZ-TAM-001,ተአምረ ማርያም በግእዝ,ተአምረ ማርያም,9,HIGH,"[(4, 22)]","[(1, 21), (2, 21), (3, 21), (4, 21), (5, 21), (6, 21), (7, 21), (8, 21), (9, 1), (9, 21), (10, 21), (11, 21), (12, 16), (12, 21)]","[(4, 22)]","[(1, 21), (2, 21), (3, 21), (4, 21), (5, 21), (6, 21), (7, 21), (8, 21), (9, 1), (9, 21), (10, 21), (11, 21), (12, 16), (12, 21)]",WRONG_DATE
AM-GDL-003,ገድለ ማርያም መግደላዊት በአማርኛ,ማርያም መግደላዊት,11,HIGH,"[(7, 29), (12, 6)]","[(7, 29), (12, 6)]",[],[],CORRECT
AM-GDL-004,ገድለ ተክለ ሃይማኖት በአማርኛ,ተክለ ሃይማኖት,9,HIGH,"[(1, 24), (2, 24), (3, 24), (4, 24), (5, 24), (6, 24), (7, 24), (8, 24), (9, 24), (10, 24), (11, 24), (12, 24)]","[(1, 24), (2, 24), (3, 24), (4, 24), (5, 24), (6, 24), (7, 24), (8, 22), (8, 24), (9, 12), (9, 24), (10, 24), (11, 24), (12, 24)]",[],"[(8, 22), (9, 12)]",WRONG_DATE
AM-GDL-005,ገድለ ቅድስት ክርስቶስ ሠምራ በአማርኛ,ክርስቶስ ሠምራ,9,HIGH,"[(1, 12), (1, 24), (2, 12), (2, 24), (3, 12), (3, 24), (4, 12), (4, 24), (6, 12), (6, 24), (7, 12), (7, 24), (8, 12), (8, 24), (9, 24), (10, 12), (10, 24), (11, 12), (11, 24), (12, 12), (12, 24)]","[(1, 24), (2, 24), (3, 24), (4, 24), (5, 24), (6, 24), (7, 24), (8, 24), (9, 12), (9, 24), (10, 24), (11, 24), (12, 24)]","[(1, 12), (2, 12), (3, 12), (4, 12), (6, 12), (7, 12), (8, 12), (10, 12), (11, 12), (12, 12)]","[(5, 24), (9, 12)]",WRONG_DATE
GZ-DRS-005,ድርሳነ መድኃኔ ዓለም በግእዝ,መድኃኔ ዓለም,8,HIGH,"[(12, 27)]","[(1, 27), (2, 27), (3, 27), (4, 27), (5, 27), (6, 27), (7, 27), (8, 27), (9, 27), (10, 27), (11, 27), (12, 27)]",[],"[(1, 27), (2, 27), (3, 27), (4, 27), (5, 27), (6, 27), (7, 27), (8, 27), (9, 27), (10, 27), (11, 27)]",WRONG_DATE
AM-GDL-007,ገድለ አቡነ ገብረ መንፈስ ቅዱስ በአማርኛ,ገብረ መንፈስ ቅዱስ,12,HIGH,"[(1, 5), (2, 5), (3, 5), (4, 5), (4, 29), (5, 5), (6, 5), (7, 29), (9, 5), (11, 5), (12, 5)]","[(1, 5), (2, 5), (3, 5), (4, 5), (4, 29), (5, 5), (6, 5), (7, 5), (7, 29), (8, 5), (9, 5), (10, 5), (11, 5), (12, 5)]",[],"[(7, 5), (8, 5), (10, 5)]",WRONG_DATE
GZ-ZNA-002,ዜናሁ ለንጉሥ ገላውዴዎስ በግእዝ,ገላውዴዎስ,6,MEDIUM,"[(6, 11), (7, 11), (8, 11), (9, 11)]","[(7, 27)]","[(6, 11), (7, 11), (8, 11), (9, 11)]","[(7, 27)]",WRONG_DATE
AM-GDL-009,ገድለ ቅዱስ እስጢፋኖስ አማርኛ,እስጢፋኖስ,6,MEDIUM,"[(5, 17)]","[(1, 15), (1, 17), (2, 17), (3, 17), (4, 17), (5, 1), (5, 17), (6, 17), (7, 17), (8, 17), (9, 17), (10, 17), (11, 17), (12, 17)]",[],"[(1, 15), (1, 17), (2, 17), (3, 17), (4, 17), (5, 1), (6, 17), (7, 17), (8, 17), (9, 17), (10, 17), (11, 17), (12, 17)]",WRONG_DATE
AM-GDL-014,የአቡነ እስትንፋሰ ክርስቶስ ገድል በአማርኛ,እስትንፋሰ ክርስቶስ,12,HIGH,"[(1, 9), (2, 9), (3, 9), (4, 9), (5, 9), (7, 9), (9, 9), (10, 9), (11, 9), (12, 9)]","[(1, 9), (2, 9), (3, 9), (4, 9), (5, 9), (6, 9), (7, 9), (8, 9), (9, 9), (10, 9), (11, 9), (12, 9)]",[],"[(6, 9), (8, 9)]",WRONG_DATE
AM-GDL-015,ገድለ ሰማዕት ቅዱስ መርቆሬዎስ በአማርኛ,መርቆሬዎስ,6,MEDIUM,"[(1, 25), (2, 25), (3, 25), (3, 30), (4, 25), (6, 25), (7, 1), (7, 25), (8, 25), (9, 25), (10, 25), (12, 25)]","[(1, 25), (2, 25), (3, 25), (4, 25), (5, 25), (6, 25), (7, 25), (8, 25), (9, 25), (10, 25), (11, 25), (12, 25)]","[(3, 30), (7, 1)]","[(5, 25), (11, 25)]",WRONG_DATE
AM-DRS-004,ድርሳነ መድኃኔ ዓለም በአማርኛ,መድኃኔ ዓለም,8,HIGH,"[(12, 27)]","[(1, 27), (2, 27), (3, 27), (4, 27), (5, 27), (6, 27), (7, 27), (8, 27), (9, 27), (10, 27), (11, 27), (12, 27)]",[],"[(1, 27), (2, 27), (3, 27), (4, 27), (5, 27), (6, 27), (7, 27), (8, 27), (9, 27), (10, 27), (11, 27)]",WRONG_DATE
GZ-GDL-017,ገድለ አቡነ ተክለ ሐዋርያት በግእዝ,ተክለ ሐዋርያት,9,HIGH,"[(3, 27)]","[(3, 27)]",[],[],CORRECT
GZ-GDL-019,ገድለ ቅድስት ክርስቶስ ሠምራ በግእዝ,ክርስቶስ ሠምራ,9,HIGH,"[(1, 12), (1, 24), (2, 12), (2, 24), (3, 12), (3, 24), (4, 12), (4, 24), (6, 12), (6, 24), (7, 12), (7, 24), (8, 12), (8, 24), (9, 24), (10, 12), (10, 24), (11, 12), (11, 24), (12, 12), (12, 24)]","[(1, 24), (2, 24), (3, 24), (4, 24), (5, 24), (6, 24), (7, 24), (8, 24), (9, 12), (9, 24), (10, 24), (11, 24), (12, 24)]","[(1, 12), (2, 12), (3, 12), (4, 12), (6, 12), (7, 12), (8, 12), (10, 12), (11, 12), (12, 12)]","[(5, 24), (9, 12)]",WRONG_DATE
GZ-GDL-022,ገድለ ቅዱስ እስጢፋኖስ በግእዝ,እስጢፋኖስ,6,MEDIUM,"[(5, 17)]","[(1, 15), (1, 17), (2, 17), (3, 17), (4, 17), (5, 1), (5, 17), (6, 17), (7, 17), (8, 17), (9, 17), (10, 17), (11, 17), (12, 17)]",[],"[(1, 15), (1, 17), (2, 17), (3, 17), (4, 17), (5, 1), (6, 17), (7, 17), (8, 17), (9, 17), (10, 17), (11, 17), (12, 17)]",WRONG_DATE
GZ-GDL-024,ገድለ አቡነ አሮን መንክራዊ ግእዝ,አሮን መንክራዊ,9,HIGH,"[(1, 5)]","[(1, 5), (2, 5), (3, 5), (4, 5), (5, 5), (6, 5), (7, 5), (8, 5), (9, 5), (10, 5), (11, 5), (12, 5)]",[],"[(2, 5), (3, 5), (4, 5), (5, 5), (6, 5), (7, 5), (8, 5), (9, 5), (10, 5), (11, 5), (12, 5)]",WRONG_DATE
AM-GDL-022,የመባዓ ጽዮን ገድል በአማርኛ,መባዓ ጽዮን,7,MEDIUM,"[(2, 27), (3, 27), (4, 27)]","[(1, 27), (2, 27), (3, 27), (4, 27), (5, 27), (6, 27), (7, 27), (8, 27), (9, 27), (10, 27), (11, 27), (12, 27)]",[],"[(1, 27), (5, 27), (6, 27), (7, 27), (8, 27), (9, 27), (10, 27), (11, 27), (12, 27)]",WRONG_DATE
AM-GDL-028,ገድለ አቡነ አሮን መንክራዊ በአማርኛ,አሮን መንክራዊ,9,HIGH,"[(1, 5)]","[(1, 5), (2, 5), (3, 5), (4, 5), (5, 5), (6, 5), (7, 5), (8, 5), (9, 5), (10, 5), (11, 5), (12, 5)]",[],"[(2, 5), (3, 5), (4, 5), (5, 5), (6, 5), (7, 5), (8, 5), (9, 5), (10, 5), (11, 5), (12, 5)]",WRONG_DATE
AM-TAM-002,ተአምረ ማርያም በአማርኛ,ተአምረ ማርያም,9,HIGH,"[(4, 22)]","[(1, 21), (2, 21), (3, 21), (4, 21), (5, 21), (6, 21), (7, 21), (8, 21), (9, 1), (9, 21), (10, 21), (11, 21), (12, 16), (12, 21)]","[(4, 22)]","[(1, 21), (2, 21), (3, 21), (4, 21), (5, 21), (6, 21), (7, 21), (8, 21), (9, 1), (9, 21), (10, 21), (11, 21), (12, 16), (12, 21)]",WRONG_DATE
