canonical_group,book_count,books,final_dates,sinksar_monthly_days,sinksar_annual_dates,tselot_rep_dates,unity_pass,missing_vs_verified,extra_vs_verified
አቡነ ኪሮስ,2,AM-GDL-021;GZ-GDL-016,"ታኅሣሥ 8, ሐምሌ 8 / Monthly Day 8",,,"[(1, 8), (2, 8), (3, 8), (4, 8), (5, 8), (6, 8), (7, 8), (8, 8), (9, 8), (10, 8), (11, 8), (12, 8)]",,,
አቡነ አረጋዊ,2,AM-GDL-016;GZ-MEL-073,"ጥቅምት 14, ጥር 14 / Monthly Day 14",,,"[(1, 14), (2, 14), (3, 14), (4, 14), (5, 14), (6, 14), (7, 14), (8, 14), (9, 14), (10, 14), (11, 14), (12, 14)]",,,
ቅዱስ ዞሲማስ,2,AM-GDL-025;GZ-GDL-008,ሚያዝያ 9 / Monthly Day 9,,,"[(1, 9), (2, 9), (3, 9), (4, 9), (5, 9), (6, 9), (7, 9), (8, 9), (9, 9), (10, 9), (11, 9), (12, 9)]",,,
እምነ ወለተ ጴጥሮስ,2,AM-GDL-020;GZ-GDL-003,ኅዳር 17 / Monthly Day 17,,,"[(1, 17), (2, 17), (3, 17), (4, 17), (5, 17), (6, 17), (7, 17), (8, 17), (9, 17), (10, 17), (11, 17), (12, 17)]",,,
ቅዱስ መቃርዮስ,2,AM-MEL-005;GZ-MEL-026,"ጥር 8, መጋቢት 13, መጋቢት 27, ሐምሌ 14, ነሐሴ 19 / Monthly Day 27",,,"[(1, 27), (2, 27), (3, 27), (4, 27), (5, 8), (5, 27), (6, 27), (7, 13), (7, 27), (8, 27), (9, 27), (10, 27), (11, 14), (11, 27), (12, 19), (12, 27)]",,,
ሕማማተ መስቀል,2,AM-MEL-004;GZ-MEL-024,"Weekly: ረቡዕ, አርብ",,,[],,,
ቅንዋተ መስቀል,2,AM-MEL-011;GZ-MEL-046,"መስከረም 17, መጋቢት 10 / Monthly Day 10 / Weekly: ረቡዕ, አርብ",,,[],,,
ቅዱስ ሚናስ ሰማዕት,2,AM-MEL-013;GZ-MEL-052,"ኅዳር 15, ሰኔ 15 / Monthly Day 15",,,"[(1, 15), (2, 15), (3, 15), (4, 15), (5, 15), (6, 15), (7, 15), (8, 15), (9, 15), (10, 15), (11, 15), (12, 15)]",,,
ቅድስት ጸበለ ማርያም,2,AM-MEL-017;GZ-MEL-159,ጥቅምት 24 / Monthly Day 24,,,"[(1, 24), (2, 24), (3, 24), (4, 24), (5, 24), (6, 24), (7, 24), (8, 24), (9, 24), (10, 24), (11, 24), (12, 24)]",,,
ቅድስት ፍቅርተ ክርስቶስ,2,AM-MEL-018;GZ-MEL-066,"የካቲት 29, መጋቢት 29 / Monthly Day 29",,,"[(1, 29), (2, 29), (3, 29), (4, 29), (5, 29), (6, 29), (7, 29), (8, 29), (9, 29), (10, 29), (11, 29), (12, 29)]",,,
አብርሃም ይሥሐቅ ያዕቆብ,2,AM-MEL-022;GZ-MEL-124,ነሐሴ 24 / Monthly Day 28,,,"[(1, 28), (2, 28), (3, 28), (4, 28), (5, 28), (6, 28), (7, 28), (8, 28), (9, 28), (10, 28), (11, 28), (12, 24), (12, 28)]",,,
መልክዐ ኢትዮጵያ,2,AM-MEL-025;GZ-MEL-129,መስከረም 1,,,"[(1, 1)]",,,
ኪዳነ ምሕረት,2,AM-MEL-027;GZ-MEL-141,የካቲት 16 / Monthly Day 16,,,"[(1, 16), (2, 16), (3, 16), (4, 16), (5, 16), (6, 16), (7, 16), (8, 16), (9, 16), (10, 16), (11, 16), (12, 16)]",,,
