batch,#,section,group,canonical_group,book_id,title,language,final_dates,decision_source,status
Batch6,304,F,ቅንዋተ መስቀል,ቅንዋተ መስቀል,AM-MEL-011,መልክዐ ቅንዋት በአማርኛ,አማርኛ,"መስከረም 17, መጋቢት 10 / Monthly Day 10 / Weekly: ረቡዕ, አርብ",Sinksar Cross Feasts + Passion Cycle,verified
Batch6,305,F,ቅንዋተ መስቀል,ቅንዋተ መስቀል,GZ-MEL-046,መልክዐ ቅንዋት በግእዝ,ግእዝ,"መስከረም 17, መጋቢት 10 / Monthly Day 10 / Weekly: ረቡዕ, አርብ",Sinksar Cross Feasts + Passion Cycle,verified
Batch6,306,F,ቅዱስ ሚናስ,ቅዱስ ሚናስ ሰማዕት,AM-MEL-013,መልክዐ ቅዱስ ሚናስ በአማርኛ,አማርኛ,"ኅዳር 15, ሰኔ 15 / Monthly Day 15",Sinksar Canonical Cycle,verified
Batch6,307,F,ቅዱስ ሚናስ,ቅዱስ ሚናስ ሰማዕት,GZ-MEL-052,መልክዐ ቅዱስ ሚናስ በግእዝ,ግእዝ,"ኅዳር 15, ሰኔ 15 / Monthly Day 15",Sinksar Canonical Cycle,verified
Batch6,308,F,ቅድስት ጸበለ ማርያም,ቅድስት ጸበለ ማርያም,AM-MEL-017,መልክዐ ቅድስት ጸበለ ማርያም በአማርኛ,አማርኛ,ጥቅምት 24 / Monthly Day 24,Sinksar 100% Match,verified
Batch6,309,F,ቅድስት ጸበለ ማርያም,ቅድስት ጸበለ ማርያም,GZ-MEL-159,መልክዐ ጸበለ ማርያም ቅድስት በግእዝ,ግእዝ,ጥቅምት 24 / Monthly Day 24,Sinksar 100% Match,verified
Batch6,310,F,ቅድስት ፍቅርተ ክርስቶስ,ቅድስት ፍቅርተ ክርስቶስ,AM-MEL-018,መልክዐ ቅድስት ፍቅርተ ክርስቶስ በአማርኛ,አማርኛ,"የካቲት 29, መጋቢት 29 / Monthly Day 29",Sinksar 100% Match,verified
Batch6,311,F,ቅድስት ፍቅርተ ክርስቶስ,ቅድስት ፍቅርተ ክርስቶስ,GZ-MEL-066,መልክዐ ቅድስት ፍቅርተ ክርስቶስ በግእዝ,ግእዝ,"የካቲት 29, መጋቢት 29 / Monthly Day 29",Sinksar 100% Match,verified
Batch6,312,F,አቡነ ዮሐንስ ጻድቅ,አቡነ ዮሐንስ ጻድቅ,AM-MEL-021,መልክዐ አቡነ ዮሐንስ ጻድቅ በአማርኛ,አማርኛ,"ጥር 20, ግንቦት 7, ሐምሌ 16 / Monthly Day 16",Sinksar Canonical Cycle,verified
Batch6,313,F,አብርሃም ይሥሐቅ ያዕቆብ,አብርሃም ይሥሐቅ ያዕቆብ,AM-MEL-022,መልክዐ አብርሃም ይሥሐቅ ያዕቆብ በአማርኛ,አማርኛ,ነሐሴ 24 / Monthly Day 28,Sinksar 100% Match,verified
Batch6,314,F,አብርሃም ይሥሐቅ ያዕቆብ,አብርሃም ይሥሐቅ ያዕቆብ,GZ-MEL-124,መልክዐ አብርሃም ይሥሐቅ ወያዕቆብ በግእዝ,ግእዝ,ነሐሴ 24 / Monthly Day 28,Sinksar 100% Match,verified
Batch6,315,F,መልክዐ ኢትዮጵያ,መልክዐ ኢትዮጵያ,AM-MEL-025,መልክዐ ኢትዮጵያ በአማርኛ,አማርኛ,መስከረም 1,Sinksar 100% Match,verified
Batch6,316,F,መልክዐ ኢትዮጵያ,መልክዐ ኢትዮጵያ,GZ-MEL-129,መልክዐ ኢትዮጵያ በግዕዝ,ግእዝ,መስከረም 1,Sinksar 100% Match,verified
Batch6,317,F,ኪዳነ ምሕረት,ኪዳነ ምሕረት,AM-MEL-027,መልክዐ ኪዳነ ምሕረት በአማርኛ,አማርኛ,የካቲት 16 / Monthly Day 16,Sinksar 100% Match,verified
Batch6,318,F,ኪዳነ ምሕረት,ኪዳነ ምሕረት,GZ-MEL-141,መልክዐ ኪዳነ ምሕረት በግእዝ,ግእዝ,የካቲት 16 / Monthly Day 16,Sinksar 100% Match,verified
