eth_date,day_id,saint_name,saint_core,kind,status,books_on_correct_date,all_books_exist,mapped_dates_in_tselot
3-7,67,አባ ሲኖዳ (የባሕታውያን አለቃ),ሲኖዳ,monthly,NO_BOOK,,,
3-7,67,አባ ዳንኤል ዘገዳመ ሲሐት,ዳንኤል ዘገዳመ ሲሐት,monthly,WRONG_DATE,,GZ-MEL-114:መልክዐ አቡነ ዳንኤል በግእዝ | GZ-GDL-028:ገድለ አቡነ ዳንኤል በግእዝ,"3-6, 3-6"
3-7,67,አባ ባውላ ገዳማዊ,ባውላ ገዳማዊ,monthly,NO_BOOK,,,
3-7,67,ቅዱስ አትናቴዎስ ሐዋርያዊ,አትናቴዎስ ሐዋርያዊ,monthly,NO_BOOK,,,
3-7,67,ቅዱስ አግናጥዮስ (ለአንበሳ የተሰጠ),አግናጥዮስ,monthly,CORRECT,GZ-MEL-058:መልክዐ ቅዱስ አግናጥዮስ ምጥው ለአንበሳ በግእዝ,GZ-MEL-058:መልክዐ ቅዱስ አግናጥዮስ ምጥው ለአንበሳ በግእዝ,"1-7, 2-7, 2-26, 3-7, 4-7, 4-24, 5-7, 6-7, 7-7, 8-7"
3-8,68,ቅዱሳን ፬ቱ እንስሳ (ኪሩቤል),፬ቱ እንስሳ,annual,CORRECT,GZ-MEL-164:መልክዐ ፬ቱ እንስሳ በግእዝ,GZ-MEL-164:መልክዐ ፬ቱ እንስሳ በግእዝ,"1-8, 2-8, 3-8, 4-8, 5-8, 6-8, 7-8, 8-8, 9-8, 10-8"
3-8,68,ቅዱስ አፍኒን ሊቀ መላእክት,አፍኒን ሊቀ መላእክት,annual,CORRECT,GZ-MEL-010:መልክዐ ሊቀ መላእክት ቅዱስ አፍኒን በግእዝ,AM-DIR-001:የሰባቱ ሊቃነ መላእክት ድርሳን በአማርኛ | AM-MEL-038:የቅዱሳን አእላፍ መላእክት 2ኛ መልክዕ በአማርኛ | GZ-MEL-004:መልክዐ ሊቀ መላእክት ቅዱስ ሚካኤል ሣልስ በግእዝ | GZ-MEL-005:መልክዐ ሊቀ መላእክት ቅዱስ ሚካኤል ካልዕ በግእዝ | GZ-MEL-006:መልክዐ ሊቀ መላእክት ቅዱስ ሩፋኤል በግእዝ | GZ-MEL-007:መልክዐ ሊቀ መላእክት ቅዱስ ራጉኤል በግእዝ | GZ-MEL-008:መልክዐ ሊቀ መላእክት ቅዱስ ሱርያል በግእዝ | GZ-MEL-009:መልክዐ ሊቀ መላእክት ቅዱስ በግእዝ | GZ-MEL-010:መልክዐ ሊቀ መላእክት ቅዱስ አፍኒን በግእዝ | GZ-MEL-011:መልክዐ ሊቀ መላእክት ቅዱስ ዑራኤል በግእዝ | GZ-MEL-012:መልክዐ ሊቀ መላእክት ቅዱስ ዑራኤል ካልእ በግእዝ | GZ-MEL-013:መልክዐ ሊቀ መላእክት ቅዱስ ገብርኤል በግእዝ | GZ-MEL-014:መልክዐ ሊቀ መላእክት ቅዱስ ገብርኤል ካልዕ (ደቅስዮስ) በግእዝ | GZ-MEL-015:መልክዐ ሊቀ መላእክት ቅዱስ ፋኑኤል በግእዝ | GZ-MEL-125:መልክዐ አእላፍ መላእክት በግእዝ | GZ-MEL-126:መልክዐ አእላፍ መላእክት ካልእ በግእዝ | GZ-MEL-165:መልክዐ ሊቀ መላእክት ቅዱስ ሚካኤል ካልዕ በግእ,"1-1, 1-3, 1-9, 1-9, 1-9, 1-12, 1-12, 1-12, 1-12, 1-13"
3-8,68,አባ ቅፍሮንያ ጻድቅ,ቅፍሮንያ,annual,NO_BOOK,,,
3-8,68,ቅዱስ ቆስጠንጢኖስ ንጉሥ (ዘምስለ ቅዱስ መስቀል),ቆስጠንጢኖስ ንጉሥ,annual,WRONG_DATE,,GZ-ZNA-002:ዜናሁ ለንጉሥ ገላውዴዎስ በግእዝ | GZ-ZNA-003:ዜና ሕይወቱ ለንጉሥ ላልይበላ በግእዝ,7-27
3-8,68,ቅድስት እግዚእ ክብራ,እግዚእ ክብራ,annual,WRONG_DATE,,GZ-MEL-078:መልክዐ አቡነ መድኃኒነ እግዚእ በግእዝ | GZ-MEL-100:መልክዐ አቡነ አፍቅረነ እግዚእ በግእዝ | GZ-MEL-145:መልክዐ ዓቢየ እግዚእ በግእዝ | GZ-MEL-150:መልክዐ ዮሐንስ ፍቁረ እግዚእ በግእዝ,"1-3, 1-4, 1-19, 1-29, 2-3, 2-4, 2-19, 3-3, 3-4, 3-19"
3-8,68,ቅዱስ ሙሴ ሊቀ ነቢያት,ሙሴ ሊቀ ነቢያት,monthly,WRONG_DATE,,AM-TSE-003:የነቢያት ጸሎት በአማርኛ | GZ-TSE-002:ጸሎተ ነቢያት በግእዝ | TI-MZM-002:መዝሙር መኃልይ ነቢያት ብትግርኛ,"None-None, None-None, None-None"
3-8,68,አባ ብሶይ (ቢሾይ),ብሶይ,monthly,NO_BOOK,,,
3-8,68,አቡነ ኪሮስ,ኪሮስ,monthly,CORRECT,GZ-GDL-016:ገድለ አቡነ ኪሮስ በግእዝ | AM-GDL-021:ገድለ አቡነ ኪሮስ በአማርኛ,GZ-GDL-016:ገድለ አቡነ ኪሮስ በግእዝ | AM-GDL-021:ገድለ አቡነ ኪሮስ በአማርኛ,"1-8, 1-8, 2-8, 2-8, 3-8, 3-8, 4-8, 4-8, 5-8, 5-8"
3-8,68,አባ ሳሙኤል ዘደብረ ቀልሞን,ሳሙኤል ዘደብረ ቀልሞን,monthly,WRONG_DATE,,AM-MEL-054:የአቡነ ሳሙኤል ዘዋልድባ መልክዕ በአማርኛ | AM-MEL-055:የአቡነ ሳሙኤል ዘዋልድባ ኹለተኛ መልክዕ በአማርኛ | GZ-MEL-084:መልክዐ አቡነ ሳሙኤል በግእዝ ሣልስ በግእዝ | GZ-MEL-085:መልክዐ አቡነ ሳሙኤል ዘዋልድባ በግእዝ | GZ-MEL-086:መልክዐ አቡነ ሳሙኤል ዘዋልድባ ካልዕ በግእዝ,"1-12, 1-12, 1-12, 1-12, 1-12, 2-12, 2-12, 2-12, 2-12, 2-12"
3-8,68,ቅዱስ ማትያስ ሐዋርያ (ከ፲፪ቱ ሐዋርያት),ማትያስ ሐዋርያ,monthly,WRONG_DATE,,AM-MEL-033:የሐዋርያው የቅዱስ ታዴዎስ መልክዕ በአማርኛ | AM-MEL-046:የቅዱስ እንድርያስ ሐዋርያ መልክዕ በአማርኛ | GZ-MEL-023:መልክዐ ሐዋርያት በግእዝ | GZ-MEL-137:መልክዐ እንድርያስ ሐዋርያ በግእዝ | GZ-GDL-017:ገድለ አቡነ ተክለ ሐዋርያት በግእዝ | GZ-GDL-032:መጽሐፈ ገድለ ቅዱሳን ሐዋርያት በግእዝ | AM-ZNA-003:ዜና ሐዋርያት በአማርኛ,"1-2, 1-4, 1-4, 2-2, 2-4, 2-4, 3-2, 3-4, 3-4, 3-27"
3-9,69,ቅዱሳን ፫፲፰ቱ ሊቃውንት,፫፲፰ቱ ሊቃውንት,annual,NO_BOOK,,,
3-9,69,ቅዱስ እለእስክንድሮስ ሊቅ,እለእስክንድሮስ ሊቅ,annual,NO_BOOK,,,
3-9,69,ቅዱስ አትናቴዎስ ሐዋርያዊ,አትናቴዎስ ሐዋርያዊ,annual,NO_BOOK,,,
3-9,69,አባ ይስሐቅ ሊቀ ዻዻሳት,ይስሐቅ ሊቀ ዻዻሳት,annual,NO_BOOK,,,
3-9,69,ሊቁ አካለ ወልድ,ሊቁ አካለ ወልድ,annual,NO_BOOK,,,
3-9,69,አባ በርሱማ ሶርያዊ (ለሶርያ መነኮሳት ኁሉ አባት),በርሱማ ሶርያዊ,monthly,NO_BOOK,,,
3-9,69,አቡነ እስትንፋሰ ክርስቶስ,እስትንፋሰ ክርስቶስ,monthly,CORRECT,GZ-MEL-136:መልክዐ እስትንፋሰ ክርስቶስ በግእዝ | AM-GDL-014:የአቡነ እስትንፋሰ ክርስቶስ ገድል በአማርኛ,GZ-MEL-136:መልክዐ እስትንፋሰ ክርስቶስ በግእዝ | AM-GDL-014:የአቡነ እስትንፋሰ ክርስቶስ ገድል በአማርኛ,"1-9, 1-9, 2-9, 2-9, 3-9, 3-9, 4-9, 4-9, 5-9, 5-9"
3-9,69,የብሔረ ብፁዐን ጻድቃን,የብሔረ ብፁዐን ጻድቃን,monthly,WRONG_DATE,,GZ-MEL-160:መልክዐ ጻድቃን ዘባርክናሃ በግእዝ,4-29
