eth_date,day_id,saint_name,saint_core,kind,status,books_on_correct_date,all_books_exist,mapped_dates_in_tselot
1-1,1,ርዕሰ ዓውደ ዓመት,ርዕሰ ዓውደ ዓመት,annual,NO_BOOK,,,
1-1,1,ቅዱስ በርተሎሜዎስ ሐዋርያ,በርተሎሜዎስ,annual,NO_BOOK,,,
1-1,1,ቅዱስ /ማር/ ሚልኪ (ትሩፈ ምግባር),/ማር/ ሚልኪ,annual,NO_BOOK,,,
1-1,1,ቅዱስ ራጉኤል ሊቀ መላእክት,ራጉኤል ሊቀ መላእክት,annual,CORRECT,AM-MEL-014:መልክዐ ቅዱስ ራጉኤል በአማርኛ | GZ-MEL-007:መልክዐ ሊቀ መላእክት ቅዱስ ራጉኤል በግእዝ | GZ-DRS-003:ድርሳነ ቅዱስ ራጉኤል በግእዝ | AM-DRS-010:ድርሳነ ቅዱስ ራጉኤል በአማርኛ,AM-DIR-001:የሰባቱ ሊቃነ መላእክት ድርሳን በአማርኛ | AM-MEL-014:መልክዐ ቅዱስ ራጉኤል በአማርኛ | AM-MEL-038:የቅዱሳን አእላፍ መላእክት 2ኛ መልክዕ በአማርኛ | GZ-MEL-004:መልክዐ ሊቀ መላእክት ቅዱስ ሚካኤል ሣልስ በግእዝ | GZ-MEL-005:መልክዐ ሊቀ መላእክት ቅዱስ ሚካኤል ካልዕ በግእዝ | GZ-MEL-006:መልክዐ ሊቀ መላእክት ቅዱስ ሩፋኤል በግእዝ | GZ-MEL-007:መልክዐ ሊቀ መላእክት ቅዱስ ራጉኤል በግእዝ | GZ-MEL-008:መልክዐ ሊቀ መላእክት ቅዱስ ሱርያል በግእዝ | GZ-MEL-009:መልክዐ ሊቀ መላእክት ቅዱስ በግእዝ | GZ-MEL-010:መልክዐ ሊቀ መላእክት ቅዱስ አፍኒን በግእዝ | GZ-MEL-011:መልክዐ ሊቀ መላእክት ቅዱስ ዑራኤል በግእዝ | GZ-MEL-012:መልክዐ ሊቀ መላእክት ቅዱስ ዑራኤል ካልእ በግእዝ | GZ-MEL-013:መልክዐ ሊቀ መላእክት ቅዱስ ገብርኤል በግእዝ | GZ-MEL-014:መልክዐ ሊቀ መላእክት ቅዱስ ገብርኤል ካልዕ (ደቅስዮስ) በግእዝ | GZ-MEL-015:መልክዐ ሊቀ መላእክት ቅዱስ ፋኑኤል በግእዝ | GZ-MEL-125:መልክዐ አእላፍ መላእክት በግእዝ | GZ-MEL-126:መልክዐ አእላፍ መላእክት ካልእ በግእዝ | GZ-MEL-165:መልክዐ ሊቀ መላእክት ቅዱስ ሚካኤል ካልዕ በግእ | GZ-DRS-003:ድርሳነ ቅዱስ ራጉኤል በግእዝ | AM-DRS-010:ድርሳነ ቅዱስ ራጉኤል በአማርኛ,"1-1, 1-1, 1-1, 1-1, 1-3, 1-9, 1-9, 1-9, 1-12, 1-12"
1-1,1,ቅዱስ ኢዮብ ተአጋሲ,ኢዮብ ተአጋሲ,annual,NO_BOOK,,,
1-1,1,ቅዱስ ሜልዮስ ሊቀ ዻዻሳት,ሜልዮስ ሊቀ ዻዻሳት,annual,NO_BOOK,,,
1-1,1,ልደታ ለማርያም ድንግል እግዝእትነ,ልደታ ለማርያም ድንግል እግዝእትነ,monthly,CORRECT,GZ-MEL-020:መልክዐ ልደታ በግእዝ | GZ-MTS-001:መጽሐፈ ልደታ ለማርያም በግእዝ,GZ-MEL-020:መልክዐ ልደታ በግእዝ | GZ-MTS-001:መጽሐፈ ልደታ ለማርያም በግእዝ,"1-1, 1-1, 2-1, 2-1, 3-1, 3-1, 4-1, 4-1, 5-1, 5-1"
1-1,1,ቅዱሳን ኢያቄም ወሐና,ኢያቄም ወሐና,monthly,CORRECT,GZ-MEL-133:መልክዐ ኢያቄም በግእዝ | AM-DRS-001:የቅዱስ ኢያቄምና- የቅድስት ሐና ድርሳን በአማርኛ | GZ-DRS-007:ድርሳን ዘቅዱስ ኢያቄም ወቅድስት ሐና በግእዝ,GZ-MEL-133:መልክዐ ኢያቄም በግእዝ | AM-DRS-001:የቅዱስ ኢያቄምና- የቅድስት ሐና ድርሳን በአማርኛ | GZ-DRS-007:ድርሳን ዘቅዱስ ኢያቄም ወቅድስት ሐና በግእዝ,"1-1, 1-1, 1-1, 1-3, 1-3, 1-3, 1-7, 1-7, 1-7, 1-11"
1-2,2,ቅዱስ ዮሐንስ ነቢይ (መጥምቀ መለኮት),ዮሐንስ ነቢይ,annual,CORRECT,AM-MEL-048:የቅዱስ ዮሐንስ መጥምቅ መልክዕ በአማርኛ | GZ-MEL-060:መልክዐ ቅዱስ ዮሐንስ መጥምቅ በግእዝ,AM-MEL-016:መልክዐ ቅዱስ ዮሐንስ ወንጌላዊ በአማርኛ | AM-MEL-020:መልክዐ አቡነ ዕጨጌ ዮሐንስ በአማርኛ | AM-MEL-021:መልክዐ አቡነ ዮሐንስ ጻድቅ በአማርኛ | AM-MEL-047:የቅዱስ ዮሐንስ 2ኛ መልክዕ በአማርኛ | AM-MEL-048:የቅዱስ ዮሐንስ መጥምቅ መልክዕ በአማርኛ | GZ-MEL-059:መልክዐ ቅዱስ ኤልያስ ነቢይ ሣልስ በግእዝ | GZ-MEL-060:መልክዐ ቅዱስ ዮሐንስ መጥምቅ በግእዝ | GZ-MEL-061:መልክዐ ቅዱስ ዮሐንስ ካልእ በግእዝ | GZ-MEL-062:መልክዐ ቅዱስ ዮሐንስ ወንጌላዊ በግእዝ | GZ-MEL-104:መልክዐ አቡነ ዕጨጌ ዮሐንስ በግእዝ | GZ-MEL-109:መልክዐ አቡነ ዮሐንስ ከማ በግእዝ | GZ-MEL-110:መልክዐ አቡነ ዮሐንስ ዘድብረ ዳጋ በግእዝ | GZ-MEL-149:መልክዐ ዮሐንስ ወልደ ነጎድጓድ በግእዝ | GZ-MEL-150:መልክዐ ዮሐንስ ፍቁረ እግዚእ በግእዝ | AM-GDL-013:የቅዱስ ዮሐንስ ገድል በአማርኛ | AM-DRS-005:ድርሳነ ኤልያስ ነቢይ በአማርኛ | GZ-GDL-018:ገድለ አቡነ ዮሐንስ በግእዝ | AM-GDL-027:ገድለ አቡነ እጨጌ ዮሐንስ ዘጸገሮ በአማርኛ,"1-1, 1-1, 1-2, 1-2, 1-4, 1-4, 1-4, 1-4, 1-4, 1-4"
1-2,2,ቅዱስ ዳስያ ሰማዕት,ዳስያ,annual,NO_BOOK,,,
1-2,2,ቅዱስ ዲዲሞስ ሰማዕት,ዲዲሞስ,annual,NO_BOOK,,,
1-2,2,ቅድስት መሪና,መሪና,annual,NO_BOOK,,,
1-2,2,ቅዱስ ታዴዎስ ሐዋርያ (ከ፲፪ቱ ሐዋርያት),ታዴዎስ ሐዋርያ,monthly,CORRECT,AM-MEL-033:የሐዋርያው የቅዱስ ታዴዎስ መልክዕ በአማርኛ | GZ-MEL-055:መልክዐ ቅዱስ ታዴዎስ በግእዝ,AM-MEL-033:የሐዋርያው የቅዱስ ታዴዎስ መልክዕ በአማርኛ | AM-MEL-046:የቅዱስ እንድርያስ ሐዋርያ መልክዕ በአማርኛ | GZ-MEL-023:መልክዐ ሐዋርያት በግእዝ | GZ-MEL-055:መልክዐ ቅዱስ ታዴዎስ በግእዝ | GZ-MEL-137:መልክዐ እንድርያስ ሐዋርያ በግእዝ | GZ-GDL-017:ገድለ አቡነ ተክለ ሐዋርያት በግእዝ | GZ-GDL-032:መጽሐፈ ገድለ ቅዱሳን ሐዋርያት በግእዝ | AM-ZNA-003:ዜና ሐዋርያት በአማርኛ,"1-2, 1-2, 1-4, 1-4, 2-2, 2-2, 2-4, 2-4, 3-2, 3-2"
1-2,2,ቅዱስ ኢዮብ ጻድቅ ተአጋሲ,ኢዮብ ጻድቅ ተአጋሲ,monthly,NO_BOOK,,,
1-2,2,ቅዱስ አቤል ጻድቅ,አቤል,monthly,NO_BOOK,,,
1-2,2,ቅዱስ አባ ዻውሊ ገዳማዊ (ታላቁ),ዻውሊ ገዳማዊ,monthly,NO_BOOK,,,
1-2,2,ቅዱስ ሳዊሮስ ዘአንጾኪያ,ሳዊሮስ ዘአንጾኪያ,monthly,NO_BOOK,,,
1-2,2,አባ ሕርያቆስ ዘሃገረ ብሕንሳ,ሕርያቆስ ዘሃገረ ብሕንሳ,monthly,NO_BOOK,,,
1-3,3,አባ ሙሴ ዘደብረ ሲሐት,ሙሴ ዘደብረ ሲሐት,annual,WRONG_DATE,,GZ-MEL-076:መልክዐ አቡነ መርቆሬዎስ ዘደብረ ድማኅ በግእዝ | GZ-MEL-080:መልክዐ አቡነ ማቴዎስ ዘደብረ በርበሬ በግእዝ | GZ-MEL-081:መልክዐ አቡነ ማቴዎስ ዘደብረ በርበሬ በግእዝ ካልእ | GZ-MEL-088:መልክዐ አቡነ ቡሩከ አምላክ ዘደብረ ኮል በግእዝ | GZ-MEL-089:መልክዐ አቡነ ብፁዓ አምላክ ዘደብረ ምዕዋን ወዘደብረ ኰዳዱ በግእዝ | GZ-MEL-099:መልክዐ አቡነ አብሳዲ ዘደብረ ማርያም በግእዝ | GZ-MEL-102:መልክዐ አቡነ እንድርያስ ዘደብረ ስኂን (ፅፉን) በግእዝ | GZ-MEL-103:መልክዐ አቡነ እንድርያስ ዘደብረ ጽጌ በግእዝ | GZ-MEL-107:መልክዐ አቡነ የሐንስ ዘደብረ ቢዘን በግእዝ | GZ-MEL-113:መልክዐ አቡነ ዮናስ ዘደብረ ድኁኃን ዘደብረ ጽጌ ወዘደብረ ጽዮን በግእዝ | GZ-MEL-120:መልክዐ አቡነ ፊልጶስ ዘደብረ ቢዘን በግእዝ | GZ-GDL-001:ገድለ አቡነ ፊልጶስ ዘደብረ ሊባኖስ በግእዝ,"1-13, 1-30, 2-13, 3-13, 3-13, 3-17, 4-1, 4-13, 4-16, 5-13"
1-3,3,አባ አንበስ ኢትዮዽያዊ,አንበስ ኢትዮዽያዊ,annual,NO_BOOK,,,
1-3,3,አበው ኤዺስ ቆዾሳት,አበው ኤዺስ ቆዾሳት,annual,WRONG_DATE,,AM-ZNA-002:ዜና አበው በአማርኛ,"3-4, 5-26"
1-3,3,አባ ዲዮናስዮስ,ዲዮናስዮስ,annual,NO_BOOK,,,
1-3,3,አባ ዲዮስቆሮስ ሰማዕት,ዲዮስቆሮስ,annual,NO_BOOK,,,
1-3,3,ቅዱስ በትንከል ዲያቆን,በትንከል ዲያቆን,annual,NO_BOOK,,,
1-3,3,በዓታ ለእግዝእትነ ማርያም ድንግል ወላዲተ አምላክ,በዓታ ለእግዝእትነ ማርያም ድንግል ወላዲተ አምላክ,monthly,WRONG_DATE,,AM-WUD-003:ውዳሴ አምላክ በአማርኛ | GZ-MEL-088:መልክዐ አቡነ ቡሩከ አምላክ ዘደብረ ኮል በግእዝ | GZ-MEL-089:መልክዐ አቡነ ብፁዓ አምላክ ዘደብረ ምዕዋን ወዘደብረ ኰዳዱ በግእዝ | TI-WUD-002:ውዳሴ አምላክ ብትግርኛ,"None-None, None-None, 4-1, 9-9, 12-14"
1-3,3,ቅዱሳን ኢያቄም ወሐና,ኢያቄም ወሐና,monthly,CORRECT,GZ-MEL-133:መልክዐ ኢያቄም በግእዝ | AM-DRS-001:የቅዱስ ኢያቄምና- የቅድስት ሐና ድርሳን በአማርኛ | GZ-DRS-007:ድርሳን ዘቅዱስ ኢያቄም ወቅድስት ሐና በግእዝ,GZ-MEL-133:መልክዐ ኢያቄም በግእዝ | AM-DRS-001:የቅዱስ ኢያቄምና- የቅድስት ሐና ድርሳን በአማርኛ | GZ-DRS-007:ድርሳን ዘቅዱስ ኢያቄም ወቅድስት ሐና በግእዝ,"1-1, 1-1, 1-1, 1-3, 1-3, 1-3, 1-7, 1-7, 1-7, 1-11"
1-3,3,ቅዱሳን ሊቃነ ካህናት አበው (ዘካርያስና ስምዖን),ሊቃነ ካህናት አበው,monthly,WRONG_DATE,,AM-DIR-001:የሰባቱ ሊቃነ መላእክት ድርሳን በአማርኛ | AM-ZNA-002:ዜና አበው በአማርኛ,"1-13, 2-13, 3-4, 3-13, 4-13, 5-13, 5-26, 6-13, 7-13, 8-13"
1-3,3,አባ ሊባኖስ ዘመጣዕ,ሊባኖስ ዘመጣዕ,monthly,CORRECT,AM-MEL-053:የአቡነ ሊባኖስ 2ኛ መልክዕ በአማርኛ | GZ-MEL-018:መልክዐ ሊባኖስ በግእዝ | GZ-MEL-074:መልክዐ አቡነ ሊባኖስ ካልእ በግእዝ,AM-MEL-053:የአቡነ ሊባኖስ 2ኛ መልክዕ በአማርኛ | GZ-MEL-018:መልክዐ ሊባኖስ በግእዝ | GZ-MEL-074:መልክዐ አቡነ ሊባኖስ ካልእ በግእዝ | GZ-GDL-001:ገድለ አቡነ ፊልጶስ ዘደብረ ሊባኖስ በግእዝ,"1-3, 1-3, 1-3, 2-3, 2-3, 2-3, 3-3, 3-3, 3-3, 4-3"
1-3,3,አቡነ ዜና ማርቆስ,ዜና ማርቆስ,monthly,CORRECT,AM-MEL-062:የአቡነ ዜና ማርቆስ መልክዕ በአማርኛ | GZ-MEL-106:መልክዐ አቡነ ዜና ማርቆስ በግእዝ,AM-MEL-062:የአቡነ ዜና ማርቆስ መልክዕ በአማርኛ | GZ-MEL-106:መልክዐ አቡነ ዜና ማርቆስ በግእዝ,"1-3, 1-3, 2-3, 2-3, 3-3, 3-3, 4-3, 4-3, 5-3, 5-3"
1-3,3,አቡነ መድኃኒነ እግዚእ ዘደብረ በንኮል,መድኃኒነ እግዚእ ዘደብረ በንኮል,monthly,CORRECT,GZ-MEL-078:መልክዐ አቡነ መድኃኒነ እግዚእ በግእዝ,GZ-MEL-078:መልክዐ አቡነ መድኃኒነ እግዚእ በግእዝ,"1-3, 2-3, 3-3, 4-3, 5-3, 6-3, 7-3, 8-3, 9-3, 10-3"
1-3,3,ቅዱስ ቄርሎስ ሊቅ (ዓምደ ሃይማኖት),ቄርሎስ ሊቅ,monthly,NO_BOOK,,,
1-4,4,ቅዱስ ኢያሱ ወልደ ነዌ (ነቢይና መስፍን),ኢያሱ ወልደ ነዌ,annual,CORRECT,GZ-MEL-149:መልክዐ ዮሐንስ ወልደ ነጎድጓድ በግእዝ,GZ-MEL-149:መልክዐ ዮሐንስ ወልደ ነጎድጓድ በግእዝ,"1-4, 1-29, 2-4, 3-4, 4-4, 5-4, 6-4, 7-4, 8-4, 9-4"
1-4,4,ቅዱስ ዮሐንስ ወንጌላዊ (ልደቱ),ዮሐንስ ወንጌላዊ,annual,CORRECT,AM-MEL-016:መልክዐ ቅዱስ ዮሐንስ ወንጌላዊ በአማርኛ | GZ-MEL-062:መልክዐ ቅዱስ ዮሐንስ ወንጌላዊ በግእዝ,AM-MEL-016:መልክዐ ቅዱስ ዮሐንስ ወንጌላዊ በአማርኛ | GZ-MEL-062:መልክዐ ቅዱስ ዮሐንስ ወንጌላዊ በግእዝ,"1-4, 1-4, 1-29, 1-29, 2-4, 2-4, 3-4, 3-4, 4-4, 4-4"
1-4,4,ቅዱሳን ዘብዴዎስና ማርያም ባውፍልያ,ዘብዴዎስና ማርያም ባውፍልያ,annual,NO_BOOK,,,
1-4,4,አባ መቃርስ ሊቀ ዻዻሳት,መቃርስ ሊቀ ዻዻሳት,annual,NO_BOOK,,,
1-4,4,አባ ሙሴ ዻዻስ,ሙሴ ዻዻስ,annual,NO_BOOK,,,
1-4,4,ቅዱስ እንድርያስ ሐዋርያ,እንድርያስ,monthly,CORRECT,AM-MEL-046:የቅዱስ እንድርያስ ሐዋርያ መልክዕ በአማርኛ | GZ-MEL-137:መልክዐ እንድርያስ ሐዋርያ በግእዝ,AM-MEL-046:የቅዱስ እንድርያስ ሐዋርያ መልክዕ በአማርኛ | GZ-MEL-102:መልክዐ አቡነ እንድርያስ ዘደብረ ስኂን (ፅፉን) በግእዝ | GZ-MEL-103:መልክዐ አቡነ እንድርያስ ዘደብረ ጽጌ በግእዝ | GZ-MEL-137:መልክዐ እንድርያስ ሐዋርያ በግእዝ,"1-4, 1-4, 2-4, 2-4, 3-4, 3-4, 4-4, 4-4, 5-4, 5-4"
1-4,4,ቅድስት ሶፍያ ሰማዕት,ሶፍያ,monthly,NO_BOOK,,,
1-4,4,ቅዱስ ዮሐንስ ዘሐራቅሊ (ሰማዕት),ዮሐንስ ዘሐራቅሊ,monthly,CORRECT,AM-MEL-016:መልክዐ ቅዱስ ዮሐንስ ወንጌላዊ በአማርኛ | AM-MEL-047:የቅዱስ ዮሐንስ 2ኛ መልክዕ በአማርኛ | GZ-MEL-061:መልክዐ ቅዱስ ዮሐንስ ካልእ በግእዝ | GZ-MEL-062:መልክዐ ቅዱስ ዮሐንስ ወንጌላዊ በግእዝ | GZ-MEL-149:መልክዐ ዮሐንስ ወልደ ነጎድጓድ በግእዝ | GZ-MEL-150:መልክዐ ዮሐንስ ፍቁረ እግዚእ በግእዝ | AM-GDL-013:የቅዱስ ዮሐንስ ገድል በአማርኛ,AM-MEL-016:መልክዐ ቅዱስ ዮሐንስ ወንጌላዊ በአማርኛ | AM-MEL-020:መልክዐ አቡነ ዕጨጌ ዮሐንስ በአማርኛ | AM-MEL-021:መልክዐ አቡነ ዮሐንስ ጻድቅ በአማርኛ | AM-MEL-047:የቅዱስ ዮሐንስ 2ኛ መልክዕ በአማርኛ | AM-MEL-048:የቅዱስ ዮሐንስ መጥምቅ መልክዕ በአማርኛ | GZ-MEL-060:መልክዐ ቅዱስ ዮሐንስ መጥምቅ በግእዝ | GZ-MEL-061:መልክዐ ቅዱስ ዮሐንስ ካልእ በግእዝ | GZ-MEL-062:መልክዐ ቅዱስ ዮሐንስ ወንጌላዊ በግእዝ | GZ-MEL-104:መልክዐ አቡነ ዕጨጌ ዮሐንስ በግእዝ | GZ-MEL-109:መልክዐ አቡነ ዮሐንስ ከማ በግእዝ | GZ-MEL-110:መልክዐ አቡነ ዮሐንስ ዘድብረ ዳጋ በግእዝ | GZ-MEL-149:መልክዐ ዮሐንስ ወልደ ነጎድጓድ በግእዝ | GZ-MEL-150:መልክዐ ዮሐንስ ፍቁረ እግዚእ በግእዝ | AM-GDL-013:የቅዱስ ዮሐንስ ገድል በአማርኛ | GZ-GDL-018:ገድለ አቡነ ዮሐንስ በግእዝ | AM-GDL-027:ገድለ አቡነ እጨጌ ዮሐንስ ዘጸገሮ በአማርኛ,"1-1, 1-1, 1-2, 1-2, 1-4, 1-4, 1-4, 1-4, 1-4, 1-4"
1-5,5,ቅድስት ሶፍያ ሰማዕት,ሶፍያ,annual,NO_BOOK,,,
1-5,5,ቅዱሳት አክሶስናና በርናባ,ቅዱሳት አክሶስናና በርናባ,annual,NO_BOOK,,,
1-5,5,ቅዱስ ማማስ ሰማዕት,ማማስ,annual,NO_BOOK,,,
1-5,5,ቅዱሳን ቴዎዶስዮስና ታውፍና,ቴዎዶስዮስና ታውፍና,annual,NO_BOOK,,,
1-5,5,አቡነ አሮን መንክራዊ,አሮን መንክራዊ,annual,CORRECT,GZ-GDL-024:ገድለ አቡነ አሮን መንክራዊ ግእዝ | AM-GDL-028:ገድለ አቡነ አሮን መንክራዊ በአማርኛ,GZ-GDL-024:ገድለ አቡነ አሮን መንክራዊ ግእዝ | AM-GDL-028:ገድለ አቡነ አሮን መንክራዊ በአማርኛ,"1-5, 1-5, 2-5, 2-5, 3-5, 3-5, 4-5, 4-5, 5-5, 5-5"
1-5,5,አፄ ልብነ ድንግል,አፄ ልብነ ድንግል,annual,WRONG_DATE,,AM-MEL-019:መልክዐ አቡነ ሐራ ድንግል በአማርኛ | GZ-MEL-021:መልክዐ ሐራ ድንግል በግእዝ,"1-11, 1-11, 2-11, 2-11, 3-11, 3-11, 4-11, 4-11, 5-11, 5-11"
1-5,5,ቅዱስ ዼጥሮስ ሊቀ ሐዋርያት,ዼጥሮስ ሊቀ ሐዋርያት,monthly,WRONG_DATE,,GZ-MEL-023:መልክዐ ሐዋርያት በግእዝ | GZ-GDL-017:ገድለ አቡነ ተክለ ሐዋርያት በግእዝ | GZ-GDL-032:መጽሐፈ ገድለ ቅዱሳን ሐዋርያት በግእዝ | AM-ZNA-003:ዜና ሐዋርያት በአማርኛ,"3-27, 11-5, 11-5, 11-5, 12-15, 12-15, 12-15"
1-5,5,ቅዱስ ዻውሎስ ብርሃነ ዓለም,ዻውሎስ ብርሃነ ዓለም,monthly,WRONG_DATE,,AM-MEL-034:የመድኀኔ ዓለም 3ኛ መልክዕ በአማርኛ | AM-MEL-035:የመድኀኔ ዓለም መልክዕ በአማርኛ | GZ-MEL-001:ሐዲስ መልክዐ መድኃኔዓለም በግእዝ | GZ-MEL-027:መልክዐ መድኀኔ ዓለም ሣልስ በግዕዝ | GZ-MEL-028:መልክዐ መድኃኔ ዓለም በግእዝ | GZ-DRS-005:ድርሳነ መድኃኔ ዓለም በግእዝ | AM-DRS-004:ድርሳነ መድኃኔ ዓለም በአማርኛ,"1-27, 1-27, 1-27, 1-27, 1-27, 1-27, 1-27, 2-27, 2-27, 2-27"
1-5,5,አቡነ ገብረ መንፈስ ቅዱስ,ገብረ መንፈስ ቅዱስ,monthly,CORRECT,GZ-MEL-151:መልክዐ ገብረ መንፈስ ቅዱስ በግእዝ | GZ-MEL-152:መልክዐ ገብረ መንፈስ ቅዱስ ካልዕ በግእዝ | AM-GDL-007:ገድለ አቡነ ገብረ መንፈስ ቅዱስ በአማርኛ,GZ-MEL-151:መልክዐ ገብረ መንፈስ ቅዱስ በግእዝ | GZ-MEL-152:መልክዐ ገብረ መንፈስ ቅዱስ ካልዕ በግእዝ | AM-GDL-007:ገድለ አቡነ ገብረ መንፈስ ቅዱስ በአማርኛ,"1-5, 1-5, 1-5, 2-5, 2-5, 2-5, 3-5, 3-5, 3-5, 4-5"
1-5,5,ቅዱስ ዮሐኒ ኢትዮዽያዊ,ዮሐኒ ኢትዮዽያዊ,monthly,NO_BOOK,,,
1-5,5,ቅዱስ አሞኒ ዘናሒሶ,አሞኒ ዘናሒሶ,monthly,NO_BOOK,,,
1-5,5,ቅድስት አውጋንያ (ሰማዕትና ጻድቅ),አውጋንያ,monthly,NO_BOOK,,,
1-6,6,ቅዱስ ኢሳይያስ ነቢይ (ልዑለ ቃል),ኢሳይያስ ነቢይ,annual,CORRECT,GZ-MEL-059:መልክዐ ቅዱስ ኤልያስ ነቢይ ሣልስ በግእዝ | AM-DRS-005:ድርሳነ ኤልያስ ነቢይ በአማርኛ,GZ-MEL-059:መልክዐ ቅዱስ ኤልያስ ነቢይ ሣልስ በግእዝ | AM-DRS-005:ድርሳነ ኤልያስ ነቢይ በአማርኛ,"1-6, 1-6, 2-6, 2-6, 3-6, 3-6, 4-1, 4-1, 4-6, 4-6"
1-6,6,ቅድስት ሰብልትንያ ሰማዕት,ሰብልትንያ,annual,NO_BOOK,,,
1-6,6,አባ ያዕቆብ ገዳማዊ,ያዕቆብ ገዳማዊ,annual,WRONG_DATE,,AM-MEL-022:መልክዐ አብርሃም ይሥሐቅ ያዕቆብ በአማርኛ | GZ-MEL-124:መልክዐ አብርሃም ይሥሐቅ ወያዕቆብ በግእዝ,"1-28, 1-28, 2-28, 2-28, 3-28, 3-28, 4-28, 4-28, 5-28, 5-28"
1-6,6,ቅዱስ አናቲሞስ ኤዺስ ቆዾስ,አናቲሞስ ኤዺስ ቆዾስ,annual,NO_BOOK,,,
1-6,6,ቅድስት ደብረ ቁስቁዋም,ደብረ ቁስቁዋም,monthly,WRONG_DATE,,GZ-MEL-076:መልክዐ አቡነ መርቆሬዎስ ዘደብረ ድማኅ በግእዝ | GZ-MEL-080:መልክዐ አቡነ ማቴዎስ ዘደብረ በርበሬ በግእዝ | GZ-MEL-081:መልክዐ አቡነ ማቴዎስ ዘደብረ በርበሬ በግእዝ ካልእ | GZ-MEL-088:መልክዐ አቡነ ቡሩከ አምላክ ዘደብረ ኮል በግእዝ | GZ-MEL-089:መልክዐ አቡነ ብፁዓ አምላክ ዘደብረ ምዕዋን ወዘደብረ ኰዳዱ በግእዝ | GZ-MEL-099:መልክዐ አቡነ አብሳዲ ዘደብረ ማርያም በግእዝ | GZ-MEL-102:መልክዐ አቡነ እንድርያስ ዘደብረ ስኂን (ፅፉን) በግእዝ | GZ-MEL-103:መልክዐ አቡነ እንድርያስ ዘደብረ ጽጌ በግእዝ | GZ-MEL-107:መልክዐ አቡነ የሐንስ ዘደብረ ቢዘን በግእዝ | GZ-MEL-113:መልክዐ አቡነ ዮናስ ዘደብረ ድኁኃን ዘደብረ ጽጌ ወዘደብረ ጽዮን በግእዝ | GZ-MEL-120:መልክዐ አቡነ ፊልጶስ ዘደብረ ቢዘን በግእዝ | GZ-GDL-001:ገድለ አቡነ ፊልጶስ ዘደብረ ሊባኖስ በግእዝ,"1-13, 1-30, 2-13, 3-13, 3-13, 3-17, 4-1, 4-13, 4-16, 5-13"
1-6,6,አባታችን አዳምና እናታችን ሔዋን,አባታችን አዳምና እናታችን ሔዋን,monthly,CORRECT,AM-MEL-023:መልክዐ አዳም ወሔዋን በአማርኛ | GZ-MEL-127:መልክዐ አዳም ወሔዋን በግእዝ,AM-MEL-023:መልክዐ አዳም ወሔዋን በአማርኛ | AM-MEL-063:የአባታችን አብርሃም መልክዕ በአማርኛ | GZ-MEL-127:መልክዐ አዳም ወሔዋን በግእዝ,"1-6, 1-6, 2-6, 2-6, 3-6, 3-6, 4-6, 4-6, 5-6, 5-6"
1-6,6,አባታችን ኖኅና እናታችን ሐይከል,አባታችን ኖኅና እናታችን ሐይከል,monthly,WRONG_DATE,,AM-MEL-063:የአባታችን አብርሃም መልክዕ በአማርኛ,"11-7, 12-28"
1-6,6,ቅዱስ ኤልያስ ነቢይ,ኤልያስ,monthly,CORRECT,AM-MEL-052:የነቢዩ የቅዱስ ኤልያስ 3ኛ መልክዕ በአማርኛ | GZ-MEL-059:መልክዐ ቅዱስ ኤልያስ ነቢይ ሣልስ በግእዝ | GZ-MEL-134:መልክዐ ኤልያስ በግእዝ | AM-DRS-005:ድርሳነ ኤልያስ ነቢይ በአማርኛ,AM-MEL-052:የነቢዩ የቅዱስ ኤልያስ 3ኛ መልክዕ በአማርኛ | GZ-MEL-059:መልክዐ ቅዱስ ኤልያስ ነቢይ ሣልስ በግእዝ | GZ-MEL-134:መልክዐ ኤልያስ በግእዝ | AM-DRS-005:ድርሳነ ኤልያስ ነቢይ በአማርኛ,"1-6, 1-6, 1-6, 1-6, 2-6, 2-6, 2-6, 2-6, 3-6, 3-6"
1-6,6,ቅዱስ ባስልዮስ ዘቂሣርያ,ባስልዮስ ዘቂሣርያ,monthly,NO_BOOK,,,
1-6,6,ቅዱስ ዮሴፍ አረጋዊ,ዮሴፍ አረጋዊ,monthly,WRONG_DATE,,GZ-MEL-073:መልክዐ አረጋዊ በግእዝ | GZ-MEL-111:መልክዐ አቡነ ዮሴፍ በግእዝ | AM-GDL-016:ገድለ አቡነ አረጋዊ በአማርኛ | GZ-GDL-029:ገድለ አቡነ ዮሴፍ በግእዝ,"1-14, 1-14, 1-19, 1-19, 2-14, 2-14, 2-19, 2-19, 3-14, 3-14"
1-6,6,ቅድስት ሰሎሜ,ሰሎሜ,monthly,NO_BOOK,,,
1-6,6,አባ አርከ ሥሉስ,አርከ ሥሉስ,monthly,WRONG_DATE,,AM-TEA-003:ተአምኆ ዘሥሉስ ቅዱስ መልክዕ በአማርኛ | AM-TEA-002:ተአምኆ ዘሥሉስ ቅዱስ በአማርኛ | GZ-MEL-034:መልክዐ ሥሉስ ቅዱስ በግእዝ | GZ-TEA-002:ተአምኆ ዘሥሉስ ቅዱስ በግእዝ | GZ-TEA-003:ተአምኆ ዘሥሉስ ቅዱስ በግእዝ ካልእ,"None-None, None-None, None-None, None-None, 5-7"
